address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Notes/Comments,Address Notes/Comments,lat,lon
"250 Lanthier Ave, Pointe-Claire, QC",,Pointe-Claire,Pointe-Claire Curling Club,https://www.pointeclairecurling.com/,Ice,Curling,Indoor,Private,,,,,,,,,,,,45.4307251,-73.8242853
"250 Rue du Vice-Roi, La Prairie",,La Prairie,Aréna municipal de la ville de La Prairie,https://www.ville.laprairie.qc.ca/activites/installations-recreatives/arena-municipal/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,45.4002315,-73.4658
"250 Rue du Vice-Roi, La Prairie",,La Prairie,Aréna municipal de la ville de La Prairie,https://www.ville.laprairie.qc.ca/activites/installations-recreatives/arena-municipal/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.4002315,-73.4658
"2500 Boulevard de Mascouche & Bureau 107, Mascouche, QC",,Mascouche,Coopérative de Solidarité le Chez-Nous du Communautaire des Moulins,https://fr-ca.facebook.com/Coop.ChezNous,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.744539,-73.6220298
"2510 Boulevard de Mascouche, Mascouche, QC",,Mascouche,Pavillon Grand Coteau,https://www.zumba.com/ja-JP/class-location/Pavilion_Grand_Coteau-24717,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.7444208,-73.622585
"2510 Boulevard de Mascouche, Mascouche, QC",,Mascouche,Pavillon Grand Coteau,https://www.zumba.com/ja-JP/class-location/Pavilion_Grand_Coteau-24717,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.7444208,-73.622585
"2522 Chemin Ste Marie, Mascouche, QC",,Mascouche,La Barak - Maison des Jeunes de Mascouche,https://mdjlabarak.wixsite.com/labarak,Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,,,45.752369,-73.6158456
"255 Avenue Ash, Montreal, QC",,Montréal,YMCA Pointe-Saint-Charles,https://www.ymcaquebec.org/en/Find-a-Y/Pointe-Saint-Charles-YMCA,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.4783031,-73.5517932
"255 Avenue Ash, Montreal, QC",,Montréal,YMCA Pointe-Saint-Charles,https://www.ymcaquebec.org/en/Find-a-Y/Pointe-Saint-Charles-YMCA,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,45.4783031,-73.5517932
"255 Avenue Ash, Montreal, QC",,Montréal,YMCA Pointe-Saint-Charles,https://www.ymcaquebec.org/en/Find-a-Y/Pointe-Saint-Charles-YMCA,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.4783031,-73.5517932
"255 Boul Constable, McMasterville, QC",,McMasterville,Salle communautaire,https://www.mcmasterville.ca/loisirs-et-culture/location-de-salles-et-plateaux-sportifs/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5501513,-73.2290909
