Source_URL,PR_CPC_ABBR,CMA_Name,CSDName,Facility_Name,address
https://falsecreekcc.ca/,BC,Vancouver,Vancouver,False Creek Community Centre,"1318 Cartwright St, Vancouver, BC"
http://roundhouse.ca/,BC,Vancouver,Vancouver,Roundhouse Community Arts & Recreation Centre,"181 Roundhouse Mews, Vancouver, BC"
http://roundhouse.ca/,BC,Vancouver,Vancouver,Roundhouse Community Arts & Recreation Centre,"181 Roundhouse Mews, Vancouver, BC"
https://westendcc.ca/coal-harbour/,BC,Vancouver,Vancouver,Coal Harbour Community Centre,"480 Broughton St, Vancouver, BC"
https://westendcc.ca/coal-harbour/,BC,Vancouver,Vancouver,Coal Harbour Community Centre,"480 Broughton St, Vancouver, BC"
https://westendcc.ca/coal-harbour/,BC,Vancouver,Vancouver,Coal Harbour Community Centre,"480 Broughton St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/dunbar-community-centre.aspx,BC,Vancouver,Vancouver,Dunbar Community Centre,"4747 Dunbar St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/dunbar-community-centre.aspx,BC,Vancouver,Vancouver,Dunbar Community Centre,"4747 Dunbar St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/dunbar-community-centre.aspx,BC,Vancouver,Vancouver,Dunbar Community Centre,"4747 Dunbar St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/hastings-community-centre.aspx,BC,Vancouver,Vancouver,Hastings Community Centre,"3096 E Hastings St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/hastings-community-centre.aspx,BC,Vancouver,Vancouver,Hastings Community Centre,"3096 E Hastings St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/hastings-community-centre.aspx,BC,Vancouver,Vancouver,Hastings Community Centre,"3096 E Hastings St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/hastings-community-centre.aspx,BC,Vancouver,Vancouver,Hastings Community Centre,"3096 E Hastings St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/gathering-place-community-centre.aspx#redirect,BC,Vancouver,Vancouver,Gathering Place Community Centre,"609 Helmcken St, Vancouver, BC"
